pid,storage,price,name
1,1,15,ASUS ROG Azoth
3,1,15,Jay Studio Radio75
5,1,5,ABKO AR61D
6,1,17,Owlab Link65
7,2,35,mm studio class 1800
8,2,20,Mode Encore
9,2,,9번 키보드
11,2,20,TX87 V1 anodized pink TKL
12,2,8,TX PAD pink 
13,5,20,Paper80
14,2,5,Lucky65
15,2,40,MONOKEI x TGR Tomo 
16,2,5,XVX L75 Air 
17,,25,DOMIKEY LABY81
18,,,18번 키보드
19,5,5,Rainy75
20,5,8,GMMK numpad
21,5,85,루버제인 그레이
23,5,,TX 넘패드
24,4,,TX 넘패드
25,5,,TX 넘패드
26,5,,TX 넘패드
27,4,,27번 키보드
28,4,20,QK 101
29,4,30,Geon W1-AT
31,3,,Tactile Pro
32,3,,32번 키보드
33,3,,CHERRY G80-3000
34,6,,CHERRY G80-8113
35,6,,Versakey Quest
36,6,,CHERRY G80-3000
37,6,,37번 키보드
38,7,,38번 키보드
39,7,,39번 키보드
40,7,,40번 키보드
41,7,,41번 키보드
42,3,4,ND75
43,3,20,Paper80
44,4,10,Vortex
46,3,4,Matias Mini Tactile Pro
47,6,,47번 키보드
48,6,,48번 키보드
49,8,35,TENET70
50,8,,50번 키보드
51,8,,51번 키보드
52,8,,52번 키보드
53,8,,53번 키보드
54,8,60,Cloudnine
55,8,5,STARS80
56,9,,rosewill
58,,,58번 키보드
59,9,10,Macintosh Apple M0110
60,9,,60번 키보드
61,9,,61번 키보드
62,9,45,Orbit
63,9,,LZSQ?
64,9,,356MINI
65,9,,Transition Lite
66,10,5,RO75
67,10,,67번 키보드
68,10,,68번 키보드 (상태불량)
69,10,5,Chilkey Paw65
70,10,25,Sin65
71,9,,LZ CLS
72,10,15,NCR workstation keyboard 
